make,model,gen_start,gen_end,trim,tier,tier_name,top_engine,audio_brand,expected_parts,notes,cult
Ram,1500,2019,2025,Lone Star,2,mid,5.7L HEMI,,"Power seats, 8.4in Uconnect",TX Big Horn,
Ram,1500,2019,2025,Rebel,2,mid,5.7L HEMI,,"Off-road suspension, skid plates, 12in Uconnect possible",Off-road. Can have big screen.,
Ram,1500,2019,2025,Laramie,3,premium,5.7L HEMI,Alpine,"Alpine amp, heated/cooled seats, heated steering wheel, 12in Uconnect, blind spot, park assist, power tailgate",First solid premium trim,
Ram,1500,2019,2025,Laramie Longhorn,3,premium,5.7L HEMI,Harman Kardon,"Harman Kardon 19-speaker amp, heated/cooled seats, air suspension, head-up display, 360 camera, power running boards, 12in Uconnect",Full luxury,
Ram,1500,2019,2025,Limited,3,premium,5.7L HEMI,Harman Kardon,"Harman Kardon 19-speaker amp, heated/cooled seats, air suspension, head-up display, 360 camera, power running boards, adaptive cruise, night vision (late)",Flagship trim,
Ram,1500,2019,2025,TRX,4,performance,6.2L Supercharged HEMI,Harman Kardon,"Harman Kardon amp, supercharged ECM, Bilstein shocks, transfer case, unique TIPM, launch control module",Hellcat engine truck. Rare and valuable.,
Ram,1500,2019,2025,REV,3,premium,EV Dual Motor,Harman Kardon,"Harman Kardon amp, EV-specific modules, battery management, 14.5in Uconnect",Electric. Different module ecosystem entirely.,
Ram,2500,2010,2018,Tradesman,1,base,5.7L HEMI,,,Work truck,
Ram,2500,2010,2018,SLT,2,mid,6.4L HEMI,,Power seats possible,Volume trim for HD,
Ram,2500,2010,2018,Laramie,3,premium,6.7L Cummins,Alpine,"Alpine amp, heated/cooled seats, heated steering wheel, park assist",Cummins is the money engine for HD,
Ram,2500,2010,2018,Laramie Longhorn,3,premium,6.7L Cummins,Alpine,"Alpine amp, heated/cooled seats, power running boards, nav",Western luxury HD,
Ram,2500,2010,2018,Limited,3,premium,6.7L Cummins,Alpine,"Alpine amp, heated/cooled seats, adaptive cruise, air suspension rear",Top trim HD,
Ram,2500,2010,2018,Power Wagon,2,mid,6.4L HEMI,,"Disconnecting sway bar, Warn winch, locking diffs","Off-road focused, not luxury",
Ram,2500,2019,2025,Tradesman,1,base,6.4L HEMI,,,Work truck,
Ram,2500,2019,2025,Big Horn,2,mid,6.4L HEMI,,"Power seats, 8.4in Uconnect",,
Ram,2500,2019,2025,Laramie,3,premium,6.7L Cummins,Alpine,"Alpine amp, heated/cooled seats, 12in Uconnect, park assist",,
Ram,2500,2019,2025,Limited,3,premium,6.7L Cummins,Harman Kardon,"Harman Kardon amp, heated/cooled seats, air suspension, 360 camera, adaptive cruise",,
Ram,2500,2019,2025,Power Wagon,2,mid,6.4L HEMI,,"Warn winch, disconnecting sway bar, locking diffs, Bilstein shocks","HEMI only, no Cummins option",
Dodge,Charger,2006,2010,SE,1,base,2.7L V6,,,Base. 2.7L is junk engine.,
Dodge,Charger,2006,2010,SXT,2,mid,3.5L V6,,"Power seats, basic premium",3.5L better than 2.7L,
Dodge,Charger,2006,2010,R/T,3,premium,5.7L HEMI,Infinity,"Infinity amp, HEMI ECM, heated seats possible",HEMI makes this premium,
Dodge,Charger,2006,2010,SRT-8,4,performance,6.1L HEMI,Kicker,"Kicker amp, SRT ECM, Brembo brakes, SRT suspension",Performance flagship,
Dodge,Charger,2011,2023,SE,1,base,3.6L V6,,,Base Pentastar,
Dodge,Charger,2011,2023,SXT,2,mid,3.6L V6,,"Power seats, 8.4in Uconnect possible",Volume trim,
Dodge,Charger,2011,2023,R/T,3,premium,5.7L HEMI,Alpine,"Alpine amp (if equipped), HEMI ECM, heated seats, performance pages",,
Dodge,Charger,2011,2023,Scat Pack,3,premium,6.4L HEMI,Alpine,"Alpine amp (if equipped), 392 ECM, Brembo brakes, performance pages, launch control",392 HEMI. Big value ECM.,
Dodge,Charger,2011,2023,SRT 392,4,performance,6.4L HEMI,Harman Kardon,"Harman Kardon amp, SRT ECM, Brembo brakes, adaptive suspension, SRT drive modes",,
Dodge,Charger,2011,2023,Hellcat,4,performance,6.2L Supercharged HEMI,Harman Kardon,"Harman Kardon amp, supercharged ECM, unique TIPM, adaptive suspension, launch control",Supercharged. Very valuable ECM.,
Dodge,Charger,2011,2023,Hellcat Redeye,4,performance,6.2L Supercharged HEMI (797hp),Harman Kardon,"Harman Kardon amp, supercharged ECM, unique TIPM, widebody fenders",Higher output supercharger,
Dodge,Charger,2011,2023,Jailbreak,4,performance,6.2L Supercharged HEMI,Harman Kardon,"Harman Kardon amp, supercharged ECM, custom mix of SRT options",Last Call special edition,
Dodge,Challenger,2008,2014,SXT,2,mid,3.6L V6,,"Power seats, basic Uconnect",,
Dodge,Challenger,2008,2014,R/T,3,premium,5.7L HEMI,Alpine,"Alpine amp possible, HEMI ECM, heated seats possible",,
Dodge,Challenger,2008,2014,SRT-8,4,performance,6.4L HEMI,Harman Kardon,"Harman Kardon amp, SRT ECM, Brembo brakes, adaptive suspension",,
Dodge,Challenger,2015,2023,SXT,2,mid,3.6L V6,,"Power seats, 8.4in Uconnect",,
Dodge,Challenger,2015,2023,R/T,3,premium,5.7L HEMI,Alpine,"Alpine amp possible, HEMI ECM",,
Dodge,Challenger,2015,2023,R/T Scat Pack,3,premium,6.4L HEMI,Alpine,"Alpine amp, 392 ECM, Brembo brakes, launch control",,
Dodge,Challenger,2015,2023,SRT Hellcat,4,performance,6.2L Supercharged HEMI,Harman Kardon,"Harman Kardon amp, supercharged ECM, unique TIPM, adaptive dampers",,
Dodge,Challenger,2015,2023,SRT Demon,4,performance,6.2L Supercharged HEMI (840hp),Harman Kardon,"Harman Kardon amp, demon ECM, transbrake, torque reserve, drag mode",Ultra rare. Deleted passenger seat/radio optional.,
Dodge,Durango,2011,2025,SXT,1,base,3.6L V6,,,Base family SUV,
Dodge,Durango,2011,2025,GT,2,mid,3.6L V6,,"Power liftgate, heated seats, 8.4in Uconnect",,
Dodge,Durango,2011,2025,Citadel,3,premium,5.7L HEMI,Alpine,"Alpine amp, heated/cooled seats, nav, power liftgate, park assist, premium cluster",Luxury Durango,
Dodge,Durango,2011,2025,R/T,3,premium,5.7L HEMI,Alpine,"Alpine amp (if equipped), HEMI ECM, sport suspension, heated seats",,
Dodge,Durango,2011,2025,SRT,4,performance,6.4L HEMI,Harman Kardon,"Harman Kardon amp, SRT ECM, Brembo brakes, adaptive suspension, launch control",2018+,
Dodge,Durango,2011,2025,SRT Hellcat,4,performance,6.2L Supercharged HEMI,Harman Kardon,"Harman Kardon amp, supercharged ECM, Brembo, adaptive suspension",2021 only. Ultra rare.,
Ford,F-150,2004,2008,XL,1,base,4.2L V6,,,Fleet/work,
Ford,F-150,2004,2008,STX,1,base,4.6L V8,,,Sport appearance base,
Ford,F-150,2004,2008,XLT,2,mid,5.4L V8,,"Power seats possible, cruise",Volume trim,
Ford,F-150,2004,2008,Lariat,3,premium,5.4L V8,Audiophile,"Audiophile amp, heated seats, power seats, moonroof possible",,
Ford,F-150,2004,2008,King Ranch,3,premium,5.4L V8,Audiophile,"Audiophile amp, heated/cooled seats, nav, premium leather",King Ranch leather is distinctive,
Ford,F-150,2004,2008,Harley-Davidson,3,premium,5.4L V8 Supercharged,Audiophile,"Audiophile amp, supercharged ECM (if equipped), heated seats",Some had supercharged 5.4L,
Ford,F-150,2009,2014,XL,1,base,3.7L V6,,,Fleet/work,
Ford,F-150,2009,2014,STX,1,base,5.0L V8,,,"Sport appearance, V8 available",
Ford,F-150,2009,2014,XLT,2,mid,5.0L V8,,"SYNC, power seats possible",Volume trim. 3.5L EcoBoost from 2011.,
Ford,F-150,2009,2014,FX4,2,mid,3.5L EcoBoost,,"Off-road pkg, SYNC, power seats",FX2/FX4 discontinued after 2014,
Ford,F-150,2009,2014,Lariat,3,premium,3.5L EcoBoost,Sony,"Sony amp, heated/cooled seats, SYNC with nav, power folding mirrors, rear camera",EcoBoost is the money engine from 2011+,
Ford,F-150,2009,2014,King Ranch,3,premium,3.5L EcoBoost,Sony,"Sony amp, heated/cooled seats, nav, power running boards, tailgate step",,
Ford,F-150,2009,2014,Platinum,3,premium,3.5L EcoBoost,Sony,"Sony amp, heated/cooled seats, massaging seats, power running boards, adaptive cruise",Top luxury trim,
Ford,F-150,2009,2014,Limited,3,premium,3.5L EcoBoost,Sony,"Sony amp, heated/cooled seats, massaging seats, power running boards, 360 camera",2013+ only,
Ford,F-150,2009,2014,SVT Raptor,4,performance,6.2L V8,Sony,"Sony amp, Raptor-specific ECM, Fox shocks, unique transfer case, Torsen front diff",6.2L V8. Very valuable parts.,
Ford,F-150,2015,2020,XL,1,base,3.3L V6,,,Aluminum body starts here,
Ford,F-150,2015,2020,XLT,2,mid,2.7L EcoBoost,,"SYNC 3, power seats possible",Volume trim,
Ford,F-150,2015,2020,Lariat,3,premium,3.5L EcoBoost,B&O,"B&O Play amp, heated/cooled seats, SYNC 3 with nav, blind spot, lane keep, power tailgate",B&O system from 2016+,
Ford,F-150,2015,2020,King Ranch,3,premium,3.5L EcoBoost,B&O,"B&O amp, heated/cooled seats, adaptive cruise, 360 camera, power running boards, massage seats",,
Ford,F-150,2015,2020,Platinum,3,premium,3.5L EcoBoost,B&O,"B&O amp, heated/cooled seats, adaptive cruise, 360 camera, power running boards, head-up display, massage seats",,
Ford,F-150,2015,2020,Limited,3,premium,3.5L EcoBoost HO,B&O,"B&O amp, all Platinum features plus 3.5L HO ECM, 22in wheels",450hp 3.5L HO from 2019,
Ford,F-150,2015,2020,Raptor,4,performance,3.5L EcoBoost HO,B&O,"B&O amp, Raptor ECM, Fox Live Valve shocks (2019+), Torsen front diff, unique transfer case, Raptor-specific TIPM",Twin-turbo 3.5L. Most valuable F-150 parts.,
Ford,F-150,2021,2025,XL,1,base,3.3L V6,,,,
Ford,F-150,2021,2025,XLT,2,mid,2.7L EcoBoost,,"SYNC 4, power seats possible, Co-Pilot360",,
Ford,F-150,2021,2025,Lariat,3,premium,3.5L EcoBoost,B&O,"B&O amp, heated/cooled seats, SYNC 4, 12in screen, BlueCruise ready, 360 camera, power tailgate",,
Ford,F-150,2021,2025,King Ranch,3,premium,3.5L EcoBoost,B&O,"B&O 18-speaker amp, heated/cooled seats, massage seats, adaptive cruise, 360 camera",,
Ford,F-150,2021,2025,Platinum,3,premium,3.5L EcoBoost,B&O Unleashed,"B&O Unleashed amp, heated/cooled/massage seats, head-up display, BlueCruise, 360 camera, Max Recline seats",,
Ford,F-150,2021,2025,Limited,3,premium,3.5L EcoBoost HO,B&O Unleashed,"B&O Unleashed amp, all Platinum features, HO ECM, 22in wheels",,
Ford,F-150,2021,2025,Raptor,4,performance,3.5L EcoBoost HO,B&O,"B&O amp, Raptor ECM, Fox Live Valve shocks, unique transfer case, Torsen front diff, EPAS rack",,
Ford,F-150,2021,2025,Raptor R,4,performance,5.2L Supercharged V8,B&O Unleashed,"B&O amp, supercharged Predator ECM, Fox shocks, unique everything",Shelby GT500 engine in a truck. Ultra rare.,
Ford,F-150,2021,2025,Lightning,3,premium,Dual Electric Motors,B&O,"B&O amp, EV-specific modules, battery management, mega power frunk, Pro Power Onboard",Electric F-150. Different module ecosystem.,
Ford,Explorer,2011,2019,Base,1,base,3.5L V6,,,,
Ford,Explorer,2011,2019,XLT,2,mid,3.5L V6,,"SYNC, power liftgate, rear camera",,
Ford,Explorer,2011,2019,Limited,3,premium,3.5L V6,Sony,"Sony amp, heated/cooled seats, nav, power liftgate, park assist, blind spot",,
Ford,Explorer,2011,2019,Sport,3,premium,3.5L EcoBoost,Sony,"Sony amp, EcoBoost ECM, sport suspension, heated seats",365hp EcoBoost,
Ford,Explorer,2011,2019,Platinum,3,premium,3.5L EcoBoost,Sony,"Sony amp, heated/cooled seats, massage seats, adaptive cruise, 360 camera",2016+,
Ford,Explorer,2020,2025,Base,1,base,2.3L EcoBoost,,,RWD-based platform now,
Ford,Explorer,2020,2025,XLT,2,mid,2.3L EcoBoost,,"SYNC 3, Co-Pilot360",,
Ford,Explorer,2020,2025,Limited,3,premium,2.3L EcoBoost,B&O,"B&O amp, heated/cooled seats, SYNC 3/4, park assist, blind spot",,
Ford,Explorer,2020,2025,ST,4,performance,3.0L EcoBoost V6,B&O,"B&O amp, ST ECM, sport suspension, sport brakes, heated/cooled seats",400hp twin-turbo V6,
Ford,Explorer,2020,2025,Platinum,3,premium,3.0L EcoBoost V6,B&O,"B&O amp, heated/cooled/massage seats, 360 camera, adaptive cruise, head-up display",,
Ford,Explorer,2020,2025,Timberline,2,mid,2.3L EcoBoost,,"Off-road suspension, skid plates, all-terrain tires","Off-road, not luxury",
Ford,Escape,2013,2019,S,1,base,2.5L I4,,,,
Ford,Escape,2013,2019,SE,2,mid,1.6L EcoBoost,,"SYNC, power seats possible",,
Ford,Escape,2013,2019,Titanium,3,premium,2.0L EcoBoost,Sony,"Sony amp, heated seats, nav, power liftgate, park assist, blind spot",,
Ford,Edge,2015,2024,SE,1,base,2.0L EcoBoost,,,,
Ford,Edge,2015,2024,SEL,2,mid,2.0L EcoBoost,,"SYNC 3, power liftgate",,
Ford,Edge,2015,2024,Titanium,3,premium,2.0L EcoBoost,B&O,"B&O amp, heated/cooled seats, nav, park assist, blind spot",,
Ford,Edge,2015,2024,ST,4,performance,2.7L EcoBoost V6,B&O,"B&O amp, ST ECM, sport suspension, sport brakes, heated/cooled seats",335hp twin-turbo,
Ford,Mustang,2005,2009,V6,1,base,4.0L V6,,,,
Ford,Mustang,2005,2009,GT,3,premium,4.6L V8,Shaker,"Shaker 500/1000 amp, GT ECM, Brembo brakes (Bullitt)",,
Ford,Mustang,2005,2009,Shelby GT500,4,performance,5.4L Supercharged V8,Shaker,"Shaker 1000 amp, supercharged ECM, Tremec 6-speed, Brembo brakes",,
Ford,Mustang,2010,2014,V6,1,base,3.7L V6,,,305hp V6 actually decent,
Ford,Mustang,2010,2014,GT,3,premium,5.0L Coyote V8,Shaker,"Shaker amp, Coyote ECM, Brembo brakes possible, SYNC",5.0L Coyote starts here,
Ford,Mustang,2010,2014,Shelby GT500,4,performance,5.8L Supercharged V8,Shaker,"Shaker amp, supercharged ECM, Tremec 6-speed, Brembo brakes, unique cooling",662hp,
Ford,Mustang,2015,2023,EcoBoost,2,mid,2.3L EcoBoost,,"SYNC 3, performance pkg available",,
Ford,Mustang,2015,2023,GT,3,premium,5.0L Coyote V8,B&O,"B&O amp (if equipped), Coyote ECM, MagneRide possible, Brembo brakes (PP)",,
Ford,Mustang,2015,2023,Shelby GT350,4,performance,5.2L Flat-Plane V8,B&O,"B&O amp, Voodoo ECM, MagneRide, Brembo brakes, Tremec 6-speed",Flat-plane crank. Unique engine.,
Ford,Mustang,2015,2023,Shelby GT500,4,performance,5.2L Supercharged V8,B&O,"B&O amp, Predator ECM, DCT transmission module, MagneRide, carbon fiber",760hp. Predator engine.,
Ford,Expedition,2018,2025,XLT,2,mid,3.5L EcoBoost,,"SYNC 3, power liftgate, Co-Pilot360",,
Ford,Expedition,2018,2025,Limited,3,premium,3.5L EcoBoost,B&O,"B&O amp, heated/cooled seats, adaptive cruise, 360 camera",,
Ford,Expedition,2018,2025,King Ranch,3,premium,3.5L EcoBoost,B&O,"B&O amp, heated/cooled seats, massage seats, adaptive cruise, 360 camera",,
Ford,Expedition,2018,2025,Platinum,3,premium,3.5L EcoBoost HO,B&O,"B&O amp, heated/cooled/massage seats, head-up display, rear entertainment, power running boards",,
Ford,Expedition,2018,2025,Timberline,2,mid,3.5L EcoBoost,,"Off-road suspension, skid plates, all-terrain tires",,
Chevrolet,Silverado 1500,2007,2013,WT,1,base,4.3L V6,,,Work truck,
Chevrolet,Silverado 1500,2007,2013,LS,1,base,4.8L V8,,,,
Chevrolet,Silverado 1500,2007,2013,LT,2,mid,5.3L V8,,"Power seats, OnStar, basic cluster",Volume trim. 5.3L most common.,
Chevrolet,Silverado 1500,2007,2013,LTZ,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, nav, power pedals, auto-dim mirror, park assist",,
GMC,Sierra 1500,2007,2013,SLE,2,mid,5.3L V8,,"Power seats, OnStar",GMC equivalent of LT,
GMC,Sierra 1500,2007,2013,SLT,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, nav, park assist",GMC equivalent of LTZ,
GMC,Sierra 1500,2007,2013,Denali,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, heated/cooled seats, nav, magnetic ride (late), power running boards, 360 camera",6.2L is the money engine,
Chevrolet,Silverado 1500,2014,2018,WT,1,base,4.3L V6,,,,
Chevrolet,Silverado 1500,2014,2018,LS,1,base,5.3L V8,,,,
Chevrolet,Silverado 1500,2014,2018,LT,2,mid,5.3L V8,,"MyLink 8in, power seats, rear camera",,
Chevrolet,Silverado 1500,2014,2018,LTZ,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, wireless charging (late), lane keep, park assist, power liftgate (late)",,
Chevrolet,Silverado 1500,2014,2018,High Country,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, heated/cooled seats, nav, power running boards, head-up display, adaptive cruise",Top trim. 6.2L + 8-speed.,
GMC,Sierra 1500,2014,2018,SLE,2,mid,5.3L V8,,"IntelliLink, power seats",,
GMC,Sierra 1500,2014,2018,SLT,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, nav, park assist",,
GMC,Sierra 1500,2014,2018,Denali,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, heated/cooled seats, magnetic ride, power running boards, head-up display, adaptive cruise, 360 camera",,
Chevrolet,Silverado 1500,2019,2025,WT,1,base,2.7L Turbo,,,,
Chevrolet,Silverado 1500,2019,2025,Custom,1,base,5.3L V8,,,Appearance pkg on base,
Chevrolet,Silverado 1500,2019,2025,LT,2,mid,5.3L V8,,"Infotainment 8in, power seats",,
Chevrolet,Silverado 1500,2019,2025,RST,2,mid,5.3L V8,,"Sport appearance, 20in wheels, possible Bose",Can option up significantly,
Chevrolet,Silverado 1500,2019,2025,LT Trail Boss,2,mid,5.3L V8,,"Off-road suspension, skid plates, Z71 pkg",,
Chevrolet,Silverado 1500,2019,2025,LTZ,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, wireless charging, park assist, power tailgate",,
Chevrolet,Silverado 1500,2019,2025,High Country,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, heated/cooled seats, head-up display, adaptive cruise, 360 camera, power running boards, magnetic ride",,
Chevrolet,Silverado 1500,2019,2025,ZR2,4,performance,6.2L V8,Bose,"Bose amp, 6.2L ECM, Multimatic DSSV shocks, front/rear e-lockers, unique transfer case",2022+. Off-road flagship.,
GMC,Sierra 1500,2019,2025,SLE,2,mid,5.3L V8,,"Infotainment, power seats",,
GMC,Sierra 1500,2019,2025,SLT,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, park assist",,
GMC,Sierra 1500,2019,2025,AT4,2,mid,5.3L V8,,"Off-road suspension, skid plates, Rancho shocks",Off-road focused. Can have Bose.,
GMC,Sierra 1500,2019,2025,AT4X,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, Multimatic DSSV shocks, e-lockers, adaptive cruise",2023+. Off-road luxury.,
GMC,Sierra 1500,2019,2025,Denali,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, heated/cooled seats, magnetic ride, head-up display, adaptive cruise, 360 camera, power running boards, CarbonPro bed (Ultimate)",,
GMC,Sierra 1500,2019,2025,Denali Ultimate,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, 16.8in display, Super Cruise, AKG studio audio (2024+), CarbonPro bed, massage seats",Top of the line. AKG audio 2024+.,
Chevrolet,Tahoe,2007,2014,LS,1,base,5.3L V8,,,,
Chevrolet,Tahoe,2007,2014,LT,2,mid,5.3L V8,Bose,"Bose amp possible, heated seats, rear entertainment possible, power liftgate",,
Chevrolet,Tahoe,2007,2014,LTZ,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, nav, power liftgate, park assist, blind spot",,
GMC,Yukon,2007,2014,SLE,2,mid,5.3L V8,,"Power seats, rear entertainment possible",,
GMC,Yukon,2007,2014,SLT,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, nav",,
GMC,Yukon,2007,2014,Denali,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, heated/cooled seats, nav, magnetic ride, power running boards, 360 camera",,
Chevrolet,Tahoe,2015,2020,LS,1,base,5.3L V8,,,,
Chevrolet,Tahoe,2015,2020,LT,2,mid,5.3L V8,Bose,"Bose amp possible, heated seats, MyLink 8in, rear camera",,
Chevrolet,Tahoe,2015,2020,Premier,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, wireless charging, adaptive cruise, 360 camera, magnetic ride",2018+ replaces LTZ,
Chevrolet,Tahoe,2015,2020,RST,2,mid,6.2L V8,Bose,"Bose amp possible, 6.2L ECM, sport appearance, 22in wheels",2018+ performance appearance,
GMC,Yukon,2015,2020,SLE,2,mid,5.3L V8,,,,
GMC,Yukon,2015,2020,SLT,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, nav",,
GMC,Yukon,2015,2020,Denali,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, heated/cooled seats, magnetic ride, head-up display, adaptive cruise, 360 camera",,
Chevrolet,Tahoe,2021,2025,LS,1,base,5.3L V8,,,IRS now standard,
Chevrolet,Tahoe,2021,2025,LT,2,mid,5.3L V8,Bose,"Bose amp possible, heated seats, 10.2in infotainment",,
Chevrolet,Tahoe,2021,2025,Z71,2,mid,5.3L V8,Bose,"Bose amp possible, off-road suspension, skid plates",,
Chevrolet,Tahoe,2021,2025,RST,2,mid,5.3L V8,Bose,"Bose amp possible, sport appearance",,
Chevrolet,Tahoe,2021,2025,Premier,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, magnetic ride, adaptive cruise, 360 camera, power running boards",,
Chevrolet,Tahoe,2021,2025,High Country,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, heated/cooled seats, magnetic ride, head-up display, adaptive cruise, 360 camera, Super Cruise (late), rear entertainment",,
GMC,Yukon,2021,2025,SLE,2,mid,5.3L V8,,,,
GMC,Yukon,2021,2025,SLT,3,premium,5.3L V8,Bose,"Bose amp, heated/cooled seats, park assist",,
GMC,Yukon,2021,2025,AT4,2,mid,5.3L V8,Bose,"Bose amp possible, off-road suspension, skid plates",,
GMC,Yukon,2021,2025,Denali,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, heated/cooled seats, magnetic ride, head-up display, adaptive cruise, 360 camera, power running boards",,
GMC,Yukon,2021,2025,Denali Ultimate,3,premium,6.2L V8,Bose,"Bose amp, 6.2L ECM, Super Cruise, AKG audio (2024+), massage seats, 16.8in display",,
Chevrolet,Equinox,2010,2017,LS,1,base,2.4L I4,,,,
Chevrolet,Equinox,2010,2017,LT,2,mid,2.4L I4,,"MyLink, power seats, rear camera",,
Chevrolet,Equinox,2010,2017,LTZ,3,premium,3.6L V6,Pioneer,"Pioneer amp, heated/cooled seats, nav, power liftgate, blind spot",V6 is the premium engine,
Chevrolet,Equinox,2018,2025,LS,1,base,1.5L Turbo,,,,
Chevrolet,Equinox,2018,2025,LT,2,mid,1.5L Turbo,,"Infotainment, heated seats possible",,
Chevrolet,Equinox,2018,2025,Premier,3,premium,2.0L Turbo,Bose,"Bose amp, heated/cooled seats, power liftgate, park assist, blind spot",2.0T discontinued 2020,
Chevrolet,Equinox,2018,2025,RS,2,mid,1.5L Turbo,,"Sport appearance, blacked out trim",Appearance only,
Chevrolet,Traverse,2018,2025,LS,1,base,3.6L V6,,,,
Chevrolet,Traverse,2018,2025,LT,2,mid,3.6L V6,,"Power liftgate, heated seats, rear camera",,
Chevrolet,Traverse,2018,2025,RS,2,mid,3.6L V6,,"Sport appearance, Bose possible",,
Chevrolet,Traverse,2018,2025,Premier,3,premium,3.6L V6,Bose,"Bose amp, heated/cooled seats, park assist, blind spot, rear entertainment possible",,
Chevrolet,Traverse,2018,2025,High Country,3,premium,3.6L V6,Bose,"Bose amp, heated/cooled seats, adaptive cruise, 360 camera, head-up display",2022+,
Chevrolet,Camaro,2010,2015,LS,1,base,3.6L V6,,,,
Chevrolet,Camaro,2010,2015,LT,2,mid,3.6L V6,,RS pkg appearance possible,,
Chevrolet,Camaro,2010,2015,SS,3,premium,6.2L V8,Boston Acoustics,"Boston Acoustics amp, LS3/L99 ECM, Brembo brakes possible, mag ride possible",,
Chevrolet,Camaro,2010,2015,ZL1,4,performance,6.2L Supercharged V8,Boston Acoustics,"Boston Acoustics amp, LSA supercharged ECM, magnetic ride, Brembo brakes, performance exhaust",580hp supercharged,
Chevrolet,Camaro,2010,2015,Z/28,4,performance,7.0L LS7 V8,,"LS7 ECM, carbon-ceramic brakes, no radio/AC delete, aero pkg",2014 only. Race car.,
Chevrolet,Camaro,2016,2024,LT,2,mid,2.0L Turbo,,,,
Chevrolet,Camaro,2016,2024,SS,3,premium,6.2L V8,Bose,"Bose amp, LT1 ECM, MagneRide possible, Brembo brakes (1LE)",,
Chevrolet,Camaro,2016,2024,ZL1,4,performance,6.2L Supercharged V8,Bose,"Bose amp, LT4 supercharged ECM, magnetic ride, Brembo brakes, electronic LSD, performance exhaust",650hp,
