make,model,gen_start,gen_end,trim,tier,tier_name,top_engine,audio_brand,expected_parts,notes,cult
Nissan,Titan,2004,2015,SL,3,premium,5.6L V8,Rockford Fosgate,"Rockford Fosgate amp, heated leather, moonroof, nav, rear camera",,
Ford,Expedition,1997,2002,XLT,2,mid,4.6L V8,,"Power seats, rear A/C, 3rd row",Triton V8,
Ford,Expedition,1997,2002,Eddie Bauer,3,premium,5.4L V8,Audiophile,"Audiophile amp, heated seats, leather, moonroof, power running boards",,
Ford,F-150,1992,1996,XL,1,base,4.9L I6,,,300 inline-6,
Ford,F-150,1992,1996,XLT,2,mid,5.0L V8,,"Power windows, cruise, A/C",302 V8,
Ford,F-150,1992,1996,Eddie Bauer,3,premium,5.8L V8,,"Heated seats, leather, power seats",351W V8,
Ford,F-150,1992,1996,Lightning,4,performance,5.8L V8 (240hp),,"Tuned 351 ECM, lowered suspension, GT40 heads, unique intake",1993-1995. 1st gen Lightning.,CULT
Ford,Fusion,2006,2012,S,1,base,2.3L I4,,,Duratec 23,
Ford,Fusion,2006,2012,SE,2,mid,2.5L I4,,"Power seats, SYNC, heated seats possible",,
Ford,Fusion,2006,2012,SEL,3,premium,3.0L V6,,"V6 ECM, heated leather, moonroof, SYNC",,
Ford,Fusion,2006,2012,Sport,3,premium,3.5L V6 AWD,,"3.5L V6 ECM, AWD, sport suspension, heated leather",AWD V6. Underrated.,
Ford,Fusion,2013,2020,S,1,base,2.5L I4,,,,
Ford,Fusion,2013,2020,SE,2,mid,1.5L EcoBoost,,"SYNC 3, power seats, rear camera",,
Ford,Fusion,2013,2020,Titanium,3,premium,2.0L EcoBoost,Sony,"Sony amp, heated/cooled leather, nav, park assist, moonroof",,
Ford,Fusion,2013,2020,Sport,4,performance,2.7L EcoBoost V6 AWD 325hp,Sony,"Sony amp, 2.7L twin-turbo ECM, AWD, sport suspension, paddle shifters, 325hp",Sleeper sedan. Twin-turbo V6 AWD.,
Honda,Odyssey,1999,2004,LX,1,base,3.5L V6,,,J35 V6,
Honda,Odyssey,1999,2004,EX,2,mid,3.5L V6,,"Power sliding doors, moonroof, rear entertainment possible",,
Honda,Odyssey,1999,2004,EX-L,3,premium,3.5L V6,,"Heated leather, moonroof, rear entertainment, power liftgate",,
Honda,Odyssey,2005,2010,LX,1,base,3.5L V6,,,,
Honda,Odyssey,2005,2010,EX,2,mid,3.5L V6,,"Power sliding doors, moonroof, rear camera (late)",,
Honda,Odyssey,2005,2010,EX-L,3,premium,3.5L V6,,"Heated leather, moonroof, nav possible, rear entertainment",,
Honda,Odyssey,2005,2010,Touring,3,premium,3.5L V6,,"Heated leather, nav, rear entertainment, power liftgate, PAX tires",,
Honda,Odyssey,2011,2017,LX,1,base,3.5L V6,,,,
Honda,Odyssey,2011,2017,EX,2,mid,3.5L V6,,"Power sliding doors, moonroof, rear camera, Bluetooth",,
Honda,Odyssey,2011,2017,EX-L,3,premium,3.5L V6,,"Heated leather, moonroof, rear entertainment possible, power liftgate",,
Honda,Odyssey,2011,2017,Touring,3,premium,3.5L V6,,"Heated leather, nav, rear entertainment, power liftgate, HondaVAC (2014+)",,
Honda,Odyssey,2011,2017,Touring Elite,3,premium,3.5L V6,,"Heated/ventilated seats, rear entertainment, ultrawide rear entertainment, nav, HondaVAC",,
Chevrolet,Malibu,1997,2003,Base,1,base,2.4L I4,,,,
Chevrolet,Malibu,1997,2003,LS,2,mid,3.1L V6,,"Power seats, cruise",V6 ECM,
Chevrolet,Malibu,2004,2007,Base,1,base,2.2L I4,,,Ecotec,
Chevrolet,Malibu,2004,2007,LT,2,mid,3.5L V6,,"V6 ECM, power seats, OnStar",,
Chevrolet,Malibu,2004,2007,SS,4,performance,3.9L V6 (240hp),,"3.9L V6 ECM, sport suspension, sport exhaust, leather",SS sedan. Actually decent.,
Chevrolet,Malibu,2008,2012,LS,1,base,2.4L I4,,,,
Chevrolet,Malibu,2008,2012,LT,2,mid,2.4L I4,,"Power seats, Bluetooth, OnStar",,
Chevrolet,Malibu,2008,2012,LTZ,3,premium,3.6L V6,,"V6 ECM, heated leather, moonroof",,
Chevrolet,Malibu,2013,2015,LS,1,base,2.5L I4,,,,
Chevrolet,Malibu,2013,2015,LT,2,mid,2.5L I4,,"MyLink, power seats, rear camera",,
Chevrolet,Malibu,2013,2015,LTZ,3,premium,2.0L Turbo,,"Turbo ECM, heated leather, nav, Bose possible",,
Chevrolet,Malibu,2016,2024,L,1,base,1.5L Turbo,,,,
Chevrolet,Malibu,2016,2024,LT,2,mid,1.5L Turbo,,"Power seats, MyLink, rear camera",,
Chevrolet,Malibu,2016,2024,Premier,3,premium,2.0L Turbo,Bose,"Bose amp, turbo ECM, heated/ventilated leather, nav, adaptive cruise",,
Toyota,Corolla,1998,2002,CE,1,base,1.8L I4,,,1ZZ-FE,
Toyota,Corolla,1998,2002,LE,1,base,1.8L I4,,"Power windows, cruise",,
Toyota,Corolla,1998,2002,S,2,mid,1.8L I4,,"Sport suspension, rear disc brakes",,
Toyota,Corolla,2003,2008,CE,1,base,1.8L I4,,,,
Toyota,Corolla,2003,2008,LE,1,base,1.8L I4,,,,
Toyota,Corolla,2003,2008,S,2,mid,1.8L I4,,"Sport suspension, sport seats",,
Toyota,Corolla,2003,2008,XRS,4,performance,1.8L I4 (170hp),,"2ZZ-GE ECM, 6-speed manual, sport suspension, 8200rpm redline",2ZZ-GE high-rev engine. Lotus uses it.,CULT
Toyota,Corolla,2009,2013,L,1,base,1.8L I4,,,,
Toyota,Corolla,2009,2013,LE,1,base,1.8L I4,,,,
Toyota,Corolla,2009,2013,S,2,mid,1.8L I4,,"Sport suspension, sport seats, moonroof possible",,
Toyota,Corolla,2014,2019,L,1,base,1.8L I4,,,,
Toyota,Corolla,2014,2019,LE,1,base,1.8L I4,,,,
Toyota,Corolla,2014,2019,SE,2,mid,1.8L I4,,"Sport suspension, sport seats, paddle shifters",,
Toyota,Corolla,2020,2025,L,1,base,2.0L I4,,,New TNGA platform,
Toyota,Corolla,2020,2025,LE,1,base,2.0L I4,,,,
Toyota,Corolla,2020,2025,SE,2,mid,2.0L I4,,"Sport suspension, 18in wheels",,
Toyota,Corolla,2020,2025,XSE,3,premium,2.0L I4,,"Heated leather, moonroof, 8in display, blind spot, LED headlights",,
Ford,Ranger,1998,2011,XL,1,base,2.3L I4,,,Work truck,
Ford,Ranger,1998,2011,XLT,2,mid,3.0L V6,,"Power windows, cruise, A/C",Vulcan V6 or 4.0L SOHC,
Ford,Ranger,1998,2011,Edge,2,mid,4.0L V6,,"Sport appearance, fender flares",,
Ford,Ranger,1998,2011,FX4,3,premium,4.0L V6,,"Off-road suspension, skid plates, locking rear diff, 4WD",,
Ford,Ranger,1998,2011,Sport,2,mid,4.0L V6,,"Sport appearance, alloy wheels",,
Dodge,Grand Caravan,1996,2007,SE,1,base,3.3L V6,,,,
Dodge,Grand Caravan,1996,2007,SXT,2,mid,3.8L V6,,"Power sliding doors, Stow n Go (2005+), rear A/C",,
Dodge,Grand Caravan,1996,2007,ES,3,premium,3.8L V6,Infinity,"Infinity amp, heated leather, power everything, rear entertainment",,
Dodge,Grand Caravan,2008,2020,SE,1,base,3.6L V6,,,Pentastar V6 from 2011,
Dodge,Grand Caravan,2008,2020,SXT,2,mid,3.6L V6,,"Power sliding doors, Stow n Go, rear A/C, rear camera",,
Dodge,Grand Caravan,2008,2020,GT,2,mid,3.6L V6,,"Heated leather, power sliding doors, Stow n Go, Bluetooth",2018+. Replaced R/T.,
Dodge,Grand Caravan,2008,2020,R/T,3,premium,3.6L V6,,"Heated leather, power everything, nav, rear entertainment",Pre-2018,
Toyota,Sienna,1998,2003,CE,1,base,3.0L V6,,,1MZ-FE,
Toyota,Sienna,1998,2003,LE,2,mid,3.0L V6,,"Power sliding door, rear A/C",,
Toyota,Sienna,1998,2003,XLE,3,premium,3.0L V6,JBL,"JBL amp, heated leather, moonroof, power sliding doors, rear entertainment",,
Toyota,Sienna,2004,2010,CE,1,base,3.3L V6,,,,
Toyota,Sienna,2004,2010,LE,2,mid,3.5L V6,,"Power sliding doors, rear A/C, rear camera (late)",3.5L from 2007,
Toyota,Sienna,2004,2010,XLE,3,premium,3.5L V6,JBL,"JBL amp, heated leather, moonroof, power liftgate, dual power sliding doors",,
Toyota,Sienna,2004,2010,Limited,3,premium,3.5L V6,JBL,"JBL amp, heated/ventilated leather, nav, rear entertainment, power everything",,
Toyota,Sienna,2011,2020,L,1,base,3.5L V6,,,,
Toyota,Sienna,2011,2020,LE,2,mid,3.5L V6,,"Power sliding doors, rear camera, Entune",,
Toyota,Sienna,2011,2020,XLE,3,premium,3.5L V6,JBL,"JBL amp possible, heated leather, moonroof, power liftgate",,
Toyota,Sienna,2011,2020,Limited,3,premium,3.5L V6,JBL,"JBL amp, heated/ventilated leather, nav, rear entertainment, 360 camera, power everything",,
Toyota,Sienna,2011,2020,SE,2,mid,3.5L V6,,"Sport suspension, sport appearance, 19in wheels",,
Chrysler,Town & Country,1996,2007,LX,1,base,3.3L V6,,,,
Chrysler,Town & Country,1996,2007,LXi,2,mid,3.8L V6,,"Power sliding doors, leather, rear A/C",,
Chrysler,Town & Country,1996,2007,Limited,3,premium,3.8L V6,Infinity,"Infinity amp, heated leather, power everything, nav, rear entertainment",,
Chrysler,Town & Country,2008,2016,Touring,2,mid,3.6L V6,,"Power sliding doors, Stow n Go, rear camera",Pentastar from 2011,
Chrysler,Town & Country,2008,2016,Touring-L,3,premium,3.6L V6,,"Heated leather, power sliding doors, rear entertainment possible, nav",,
Chrysler,Town & Country,2008,2016,Limited,3,premium,3.6L V6,,"Heated/ventilated leather, nav, rear entertainment, power everything, park assist",,
Hyundai,Elantra,2001,2006,GLS,1,base,2.0L I4,,,,
Hyundai,Elantra,2001,2006,GT,2,mid,2.0L I4,,"Sport appearance, alloy wheels, moonroof possible",Hatchback,
Hyundai,Elantra,2007,2010,GLS,1,base,2.0L I4,,,,
Hyundai,Elantra,2007,2010,SE,2,mid,2.0L I4,,"Heated leather, moonroof, power seats",,
Hyundai,Elantra,2011,2016,GLS,1,base,1.8L I4,,,,
Hyundai,Elantra,2011,2016,SE,2,mid,1.8L I4,,"Heated seats, moonroof, Bluetooth",,
Hyundai,Elantra,2011,2016,Limited,3,premium,1.8L I4,,"Heated leather, moonroof, nav, rear camera, push-button start",,
Hyundai,Elantra,2011,2016,Sport,2,mid,2.0L I4,,"Sport suspension, 2.0L ECM, sport seats",2014+,
Hyundai,Elantra,2017,2020,SE,1,base,2.0L I4,,,,
Hyundai,Elantra,2017,2020,SEL,2,mid,2.0L I4,,"Heated seats, blind spot, rear camera",,
Hyundai,Elantra,2017,2020,Limited,3,premium,2.0L I4,,"Heated leather, moonroof, nav, infinity amp possible, adaptive cruise",,
Hyundai,Elantra,2017,2020,Sport,4,performance,1.6L Turbo I4,,"Turbo ECM, sport suspension, sport exhaust, 201hp",,
Nissan,Versa,2007,2011,S,1,base,1.8L I4,,,Cheapest car in America,
Nissan,Versa,2007,2011,SL,2,mid,1.8L I4,,"Power windows, Bluetooth, alloy wheels",,
Nissan,Versa,2012,2019,S,1,base,1.6L I4,,,HR16DE,
Nissan,Versa,2012,2019,SV,2,mid,1.6L I4,,"Power windows, Bluetooth, rear camera",,
Nissan,Versa,2012,2019,SL,3,premium,1.6L I4,,"Heated seats, around view monitor, nav",,
Dodge,Journey,2009,2020,SE,1,base,2.4L I4,,,,
Dodge,Journey,2009,2020,SXT,2,mid,3.6L V6,,"V6 ECM, power seats, rear camera, 3rd row",,
Dodge,Journey,2009,2020,Crossroad,2,mid,3.6L V6,,"Heated leather, rear camera, 19in wheels",,
Dodge,Journey,2009,2020,GT,3,premium,3.6L V6,,"Heated leather, nav, power seats, rear camera, 3rd row, Bluetooth",2018+,
Dodge,Journey,2009,2020,R/T,3,premium,3.6L V6,,"Heated leather, nav, rear entertainment possible, premium cluster",Pre-2018,
Chevrolet,Cruze,2011,2015,LS,1,base,1.8L I4,,,,
Chevrolet,Cruze,2011,2015,LT,2,mid,1.4L Turbo,,"Turbo ECM, MyLink, rear camera, heated seats possible",,
Chevrolet,Cruze,2011,2015,LTZ,3,premium,1.4L Turbo,Pioneer,"Pioneer amp, heated leather, moonroof, nav",,
Chevrolet,Cruze,2016,2019,L,1,base,1.4L Turbo,,,All turbo now,
Chevrolet,Cruze,2016,2019,LT,2,mid,1.4L Turbo,,"MyLink, heated seats, rear camera",,
Chevrolet,Cruze,2016,2019,Premier,3,premium,1.4L Turbo,Bose,"Bose amp, heated leather, moonroof, wireless charging",,
Kia,Soul,2010,2013,Base,1,base,1.6L I4,,,,
Kia,Soul,2010,2013,+,2,mid,2.0L I4,,"Heated seats, Bluetooth, alloy wheels",Plus trim,
Kia,Soul,2010,2013,!,3,premium,2.0L I4,,"Heated leather, moonroof, nav, rear camera",Exclaim trim,
Kia,Soul,2014,2019,Base,1,base,1.6L I4,,,,
Kia,Soul,2014,2019,+,2,mid,2.0L I4,,"Heated seats, rear camera, UVO",,
Kia,Soul,2014,2019,!,3,premium,2.0L I4,,"Heated leather, moonroof, nav, Harman Kardon possible, LED headlights",,
Kia,Soul,2020,2025,LX,1,base,2.0L I4,,,,
Kia,Soul,2020,2025,S,2,mid,2.0L I4,,"Heated seats, rear camera",,
Kia,Soul,2020,2025,GT-Line Turbo,3,premium,1.6L Turbo,Harman Kardon,"Harman Kardon amp, turbo ECM, heated/ventilated seats, moonroof, heads-up display",201hp turbo,
Toyota,Avalon,1995,1999,XL,1,base,3.0L V6,,,1MZ-FE,
Toyota,Avalon,1995,1999,XLS,3,premium,3.0L V6,JBL,"JBL amp, heated leather, moonroof, power seats",,
Toyota,Avalon,2000,2004,XL,1,base,3.0L V6,,,,
Toyota,Avalon,2000,2004,XLS,3,premium,3.0L V6,JBL,"JBL amp, heated leather, moonroof, power seats, auto climate",,
Toyota,Avalon,2005,2012,XL,1,base,3.5L V6,,,2GR-FE from 2005,
Toyota,Avalon,2005,2012,XLS,2,mid,3.5L V6,JBL,"JBL amp possible, heated leather, moonroof",,
Toyota,Avalon,2005,2012,Touring,2,mid,3.5L V6,,"Sport suspension, sport seats, paddle shifters",,
Toyota,Avalon,2005,2012,Limited,3,premium,3.5L V6,JBL,"JBL amp, heated/ventilated leather, nav, moonroof, park assist, blind spot (late)",,
Nissan,Murano,2003,2007,S,1,base,3.5L V6,,,VQ35DE. AWD or FWD.,
Nissan,Murano,2003,2007,SL,3,premium,3.5L V6,Bose,"Bose amp, heated leather, moonroof, rear camera",,
Nissan,Murano,2009,2014,S,1,base,3.5L V6,,,,
Nissan,Murano,2009,2014,SV,2,mid,3.5L V6,,"Power liftgate, heated seats, rear camera",,
Nissan,Murano,2009,2014,SL,3,premium,3.5L V6,Bose,"Bose amp, heated leather, moonroof, nav, around view monitor",,
Nissan,Murano,2009,2014,LE,3,premium,3.5L V6,Bose,"Bose amp, heated/cooled leather, nav, rear entertainment, 360 camera",Pre-2011,
Nissan,Murano,2015,2020,S,1,base,3.5L V6,,,,
Nissan,Murano,2015,2020,SV,2,mid,3.5L V6,,"Heated seats, rear camera, power liftgate",,
Nissan,Murano,2015,2020,SL,3,premium,3.5L V6,Bose,"Bose amp, heated leather, moonroof, nav, 360 camera",,
Nissan,Murano,2015,2020,Platinum,3,premium,3.5L V6,Bose,"Bose amp, heated/cooled leather, nav, 360 camera, adaptive cruise",,
GMC,Acadia,2007,2016,SLE,1,base,3.6L V6,,,,
GMC,Acadia,2007,2016,SLT,3,premium,3.6L V6,Bose,"Bose amp, heated leather, power liftgate, blind spot, park assist",,
GMC,Acadia,2007,2016,Denali,3,premium,3.6L V6,Bose,"Bose amp, heated/cooled leather, nav, heads-up display, adaptive cruise",,
GMC,Acadia,2017,2025,SLE,1,base,2.5L I4,,,Smaller platform,
GMC,Acadia,2017,2025,SLT,3,premium,3.6L V6,Bose,"Bose amp, heated leather, power liftgate, blind spot",,
GMC,Acadia,2017,2025,AT4,2,mid,3.6L V6,,"Off-road suspension, all-terrain tires, twin-clutch AWD",2020+,
GMC,Acadia,2017,2025,Denali,3,premium,3.6L V6,Bose,"Bose amp, heated/cooled leather, nav, heads-up display, adaptive cruise",,
Chrysler,200,2011,2014,LX,1,base,2.4L I4,,,Sebring replacement,
Chrysler,200,2011,2014,Touring,2,mid,2.4L I4,,"Heated seats, power seats, Uconnect",,
Chrysler,200,2011,2014,Limited,3,premium,3.6L V6,,"V6 ECM, heated leather, moonroof, nav",,
Chrysler,200,2011,2014,S,2,mid,3.6L V6,,"V6 ECM, sport appearance, blacked out trim",,
Chrysler,200,2015,2017,LX,1,base,2.4L I4,,,New platform,
Chrysler,200,2015,2017,Limited,2,mid,2.4L I4,,"Uconnect, heated seats, rear camera",,
Chrysler,200,2015,2017,S,3,premium,3.6L V6,Alpine,"Alpine amp, V6 ECM, sport suspension, heated leather, panoramic moonroof, nav",,
Chrysler,200,2015,2017,C,3,premium,3.6L V6,Alpine,"Alpine amp, V6 ECM, heated/ventilated leather, nav, park assist, adaptive cruise",,
Hyundai,Santa Fe,2001,2006,GLS,1,base,2.4L I4,,,,
Hyundai,Santa Fe,2001,2006,LX,2,mid,2.7L V6,,"V6 ECM, power seats, rear A/C",,
Hyundai,Santa Fe,2007,2012,GLS,1,base,2.4L I4,,,,
Hyundai,Santa Fe,2007,2012,SE,2,mid,3.3L V6,,"V6 ECM, heated leather, moonroof possible",,
Hyundai,Santa Fe,2007,2012,Limited,3,premium,3.3L V6,Infinity,"Infinity amp, V6 ECM, heated leather, moonroof, nav, rear camera",,
Hyundai,Santa Fe,2013,2018,Sport,1,base,2.4L I4,,,Sport is actually the base model,
Hyundai,Santa Fe,2013,2018,Sport 2.0T,2,mid,2.0L Turbo,,"Turbo ECM, heated seats, panoramic moonroof possible",,
Hyundai,Santa Fe,2013,2018,Limited,3,premium,3.3L V6,Infinity,"Infinity amp, V6 ECM, heated/ventilated leather, panoramic moonroof, nav, blind spot, rear entertainment",,
Hyundai,Santa Fe,2013,2018,Ultimate,3,premium,3.3L V6,Infinity,"Infinity amp, V6 ECM, heated/ventilated leather, panoramic moonroof, nav, 360 camera, adaptive cruise",2017+,
Nissan,Xterra,2000,2004,XE,1,base,2.4L I4,,,KA24DE,
Nissan,Xterra,2000,2004,SE,2,mid,3.3L V6,,"V6 ECM, power windows, A/C, alloy wheels",VG33E,
Nissan,Xterra,2000,2004,SE SC,3,premium,3.3L V6 Supercharged,,"Supercharged V6 ECM, 210hp, all SE features",Supercharged V6!,
Nissan,Xterra,2005,2015,X,1,base,4.0L V6,,,VQ40DE,
Nissan,Xterra,2005,2015,S,2,mid,4.0L V6,,"Power windows, cruise, alloy wheels",,
Nissan,Xterra,2005,2015,Off-Road,2,mid,4.0L V6,,"Off-road suspension, skid plates, locking rear diff, hill descent",,
Nissan,Xterra,2005,2015,Pro-4X,3,premium,4.0L V6,,"Bilstein shocks, skid plates, locking rear diff, heated leather, moonroof, Rockford Fosgate possible",,
Chevrolet,Trailblazer,2002,2009,LS,1,base,4.2L I6,,,Atlas I6,
Chevrolet,Trailblazer,2002,2009,LT,2,mid,4.2L I6,,"Power seats, heated seats, OnStar, moonroof possible",,
Chevrolet,Trailblazer,2002,2009,LTZ,3,premium,4.2L I6,Bose,"Bose amp, heated leather, moonroof, power liftgate",Only on EXT model,
Chevrolet,Trailblazer,2002,2009,SS,4,performance,6.0L V8 (LS2),,"LS2 V8 ECM (390hp), AWD, sport suspension, 20in wheels",LS2 from Corvette C6. Sleeper SUV.,CULT
Nissan,Frontier,1998,2004,XE,1,base,2.4L I4,,,KA24DE,
Nissan,Frontier,1998,2004,SE,2,mid,3.3L V6,,"V6 ECM, power windows, alloy wheels, crew cab available",VG33E/VG33ER,
Nissan,Frontier,1998,2004,SC,3,premium,3.3L V6 Supercharged,,"Supercharged V6 ECM, 210hp",2001-2004. Supercharged V6.,
Nissan,Frontier,2005,2021,S,1,base,2.5L I4,,,QR25DE. I4 dropped 2019.,
Nissan,Frontier,2005,2021,SV,2,mid,4.0L V6,,"V6 ECM, power seats, Bluetooth, rear camera (late)",VQ40DE,
Nissan,Frontier,2005,2021,SL,3,premium,4.0L V6,,"Heated leather, moonroof, rear camera, Rockford Fosgate possible",,
Nissan,Frontier,2005,2021,PRO-4X,3,premium,4.0L V6,,"Bilstein shocks, skid plates, locking rear diff, heated leather",,
Kia,Forte,2010,2013,LX,1,base,2.0L I4,,,,
Kia,Forte,2010,2013,EX,2,mid,2.0L I4,,"Heated seats, moonroof, Bluetooth",,
Kia,Forte,2010,2013,SX,3,premium,2.4L I4,,"2.4L ECM, heated leather, moonroof, nav",,
Kia,Forte,2010,2013,Koup SX,3,premium,2.4L I4,,"2.4L ECM, sport suspension, heated leather, moonroof",Coupe variant,
Kia,Forte,2014,2018,LX,1,base,2.0L I4,,,,
Kia,Forte,2014,2018,EX,2,mid,2.0L I4,,"Heated seats, rear camera, UVO",,
Kia,Forte,2014,2018,SX,3,premium,1.6L Turbo,,"Turbo ECM, heated leather, moonroof, nav, sport suspension",201hp turbo,
Kia,Forte,2019,2025,FE,1,base,2.0L I4,,,,
Kia,Forte,2019,2025,LXS,2,mid,2.0L I4,,"Heated seats, rear camera, blind spot",,
Kia,Forte,2019,2025,GT,4,performance,1.6L Turbo,,"Turbo ECM, sport suspension, sport exhaust, heated seats, dual-clutch or 6-speed, 201hp",,
Dodge,Dakota,1997,2004,Base,1,base,2.5L I4,,,,
Dodge,Dakota,1997,2004,SLT,2,mid,4.7L V8,,"V8 ECM, power seats, cruise",3.9L V6 or 4.7L V8,
Dodge,Dakota,1997,2004,Sport,2,mid,3.9L V6,,"Sport appearance, alloy wheels",,
Dodge,Dakota,1997,2004,R/T,3,premium,5.9L V8 (250hp),,"5.9L Magnum V8 ECM, sport suspension, 250hp",V8 sport truck.,CULT
Dodge,Dakota,2005,2011,ST,1,base,3.7L V6,,,,
Dodge,Dakota,2005,2011,SLT,2,mid,4.7L V8,,"V8 ECM, power seats, cruise",,
Dodge,Dakota,2005,2011,Laramie,3,premium,4.7L V8,Infinity,"Infinity amp, heated leather, chrome trim, power seats",,
GMC,Terrain,2010,2017,SLE,1,base,2.4L I4,,,,
GMC,Terrain,2010,2017,SLT,3,premium,3.6L V6,Pioneer,"Pioneer amp, V6 ECM, heated leather, nav, power liftgate",V6 is premium,
GMC,Terrain,2010,2017,Denali,3,premium,3.6L V6,Pioneer,"Pioneer amp, V6 ECM, heated/ventilated leather, nav, heads-up display, adaptive cruise",,
GMC,Terrain,2018,2025,SLE,1,base,1.5L Turbo,,,,
GMC,Terrain,2018,2025,SLT,3,premium,2.0L Turbo,Bose,"Bose amp, turbo ECM, heated leather, nav, power liftgate",,
GMC,Terrain,2018,2025,Denali,3,premium,2.0L Turbo,Bose,"Bose amp, turbo ECM, heated/ventilated leather, nav, heads-up display, adaptive cruise",,
GMC,Terrain,2018,2025,AT4,2,mid,1.5L Turbo,,"All-terrain appearance, off-road suspension (mild)",2022+,
Mercury,Grand Marquis,1998,2011,GS,1,base,4.6L V8,,,Panther platform. Same as Crown Vic.,
Mercury,Grand Marquis,1998,2011,LS,2,mid,4.6L V8,,"Heated leather, power seats, auto climate",,
Mercury,Grand Marquis,1998,2011,LSE,3,premium,4.6L V8,,"Heated/ventilated leather, chrome wheels, premium stereo",Limited editions,
Volkswagen,Passat,2001,2005,GLS,1,base,1.8L Turbo,,,B5.5. 1.8T or V6.,
Volkswagen,Passat,2001,2005,GLS V6,2,mid,2.8L V6,,"V6 ECM, heated seats",,
Volkswagen,Passat,2001,2005,GLX,3,premium,2.8L V6,,"V6 ECM, heated leather, moonroof, Monsoon stereo",,
Volkswagen,Passat,2001,2005,W8,3,premium,4.0L W8,,"W8 ECM, AWD, heated leather, moonroof",Rare W8 engine. Unique to VW.,CULT
Volkswagen,Passat,2006,2010,2.0T,2,mid,2.0L Turbo,,"Turbo ECM, heated seats, moonroof possible",B6,
Volkswagen,Passat,2006,2010,3.6L,3,premium,3.6L V6,Dynaudio,"Dynaudio amp, V6 ECM, heated leather, nav, park assist",,
Volkswagen,Passat,2012,2019,S,1,base,2.5L I5,,,NMS. US-specific platform.,
Volkswagen,Passat,2012,2019,SE,2,mid,1.8L Turbo,,"Turbo ECM, heated seats, rear camera",,
Volkswagen,Passat,2012,2019,SEL,3,premium,1.8L Turbo,Fender,"Fender amp, heated leather, moonroof, nav, park assist",,
Volkswagen,Passat,2012,2019,GT,2,mid,3.6L V6,,"V6 ECM, sport appearance, 19in wheels",2018+. V6 sport trim.,
Mini,Cooper,2002,2006,Base,1,base,1.6L I4,,,W10 engine,
Mini,Cooper,2002,2006,S,3,premium,1.6L Supercharged I4,,"Supercharged ECM, sport suspension, sport brakes, 163hp",Tritec supercharged,CULT
Mini,Cooper,2007,2013,Base,1,base,1.6L I4,,,N12/N16 engine,
Mini,Cooper,2007,2013,S,3,premium,1.6L Turbo I4,,"Turbo ECM, sport suspension, sport brakes, 181hp",N14/N18 turbo,CULT
